3121	none	ambience	But the staff was so horrible to us.
2777	none	ambience	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.
1634	none	ambience	The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.
2534	none	ambience	Where Gabriela personaly greets you and recommends you what to eat.
583	none	ambience	For those that go once and don't enjoy it, all I can say is that they just don't get it.
2846	none	ambience	Not only was the food outstanding, but the little 'perks' were great.
1571	none	ambience	It is very overpriced and not very tasty.
1458	none	ambience	Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
3161	none	ambience	The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.
2391	none	ambience	Nevertheless the food itself is pretty good.
986	neutral	ambience	i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.
296	none	ambience	They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.
1793	none	ambience	It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!
2200	positive	ambience	The design and atmosphere is just as good.
3195	none	ambience	He has visited Thailand and is quite expert on the cuisine.
3119	none	ambience	I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.
3359	none	ambience	The pizza is the best if you like thin crusted pizza.
70	none	ambience	My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
1829	none	ambience	He can't help, they're bought up so fast.
2935	negative	ambience	Secondly, on this night the place was overwhelmed by upper east side ladies perfume.
1805	none	ambience	i have eaten here a handful of times, for no reason besides sheer convenience.
2559	none	ambience	Obviously run by folks who know a pie.
716	none	ambience	We were very disappointed.
2464	none	ambience	IT IS DEFINITELY SPECIAL AND AFFORDABLE.
385	none	ambience	I really liked this place.
1350	none	ambience	I will be going back very soon.
3534	positive	ambience	All the money went into the interior decoration, none of it went to the chefs.
1407	negative	ambience	The seats are uncomfortable if you are sitting against the wall on wooden benches.
565	none	ambience	I asked for seltzer with lime, no ice.
387	none	ambience	It was pretty inexpensive too.
1314	none	ambience	Will not be back.
675	none	ambience	Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.
2227	none	ambience	My suggestion is to eat family style because you'll want to try the other dishes.
3367	positive	ambience	Best of all is the warm vibe, the owner is super friendly and service is fast.
1210	none	ambience	This isn't a value joint.
2191	none	ambience	Faan's got a great concept but a little rough on the delivery.
270	positive	ambience	From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.
638	none	ambience	Great food at REASONABLE prices, makes for an evening that can't be beat!
500	none	ambience	Look foward to trying the Ruben upon returning.
1108	none	ambience	The only other steakhouse that seems to hold a candle to Roth's is the Strip House.
3294	none	ambience	We usually go to the Chart House to celebrate a birthday or anniversary.
388	positive	ambience	this little place has a cute interior decor and affordable city prices.
3070	none	ambience	You'll adore it.
3373	none	ambience	Two words: Free wine.
425	none	ambience	The price is reasonable although the service is poor.
3192	none	ambience	The quantity is also very good, you will come out satisfied.
1098	none	ambience	I have been to Roth's twice and both times were very disappointing.
2173	none	ambience	Worth visiting the 1st Ave spot because it is the original store.
391	none	ambience	I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.
263	positive	ambience	Raga's is a romantic, cozy restaurant.
2384	none	ambience	The fried rice is amazing here.
2962	none	ambience	Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.
3404	none	ambience	it's a perfect place to have a amanzing indian food.
2599	positive	ambience	The place is so cool and the service is prompt and curtious.
673	none	ambience	At the end you're left with a mild broth with noodles that you can slurp out of a cup.
648	none	ambience	I just wonder how you can have such a delicious meal for such little money.
863	none	ambience	The food was delicious but do not come here on a empty stomach.
1623	none	ambience	The wine list is excellent.
2177	none	ambience	so garantuan that you can't fit them in a toaster.
430	none	ambience	Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).
1101	none	ambience	They wouldnt even let me finish my glass of wine before offering another.
1823	none	ambience	I highly recommend the Sophia pizza.
324	none	ambience	Whem asked, we had to ask more detailed questions so that we knew what the specials were.
2783	none	ambience	This is a consistently great place to dine for lunch or dinner.
2983	positive	ambience	Nice atmosphere, the service was very pleasant and the desert was good.
66	none	ambience	All the people that I bring there go back on their own and bring THEIR friends!
627	none	ambience	After really enjoying ourselves at the bar we sat down at a table and had dinner.
3219	positive	ambience	Fabulous service, fantastic food, and a chilled out atmosphere and environment.
2934	none	ambience	Not what I wanted to hear.
2787	none	ambience	Try the lasagnette appetizer.
825	none	ambience	Pricey, but worth a try, at least once.
197	none	ambience	I've been there a few times, and I usually end up sitting next to some pretty odd people.
604	none	ambience	I liked the beer selection!
2911	positive	ambience	Great food, good size menu, great service and an unpretensious setting.
3074	none	ambience	Go here for a romantic dinner but not for an all out wow dining experience.
1479	none	ambience	Can't wait to go back.
1074	none	ambience	I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.
912	none	ambience	Wine list selection is good and wine-by-the-glass was generously filled to the top.
728	none	ambience	With the great variety on the menu , I eat here often and never get bored .
2925	none	ambience	The menu is very limited - i think we counted 4 or 5 entrees.
495	none	ambience	If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.
3436	none	ambience	The menu is limited but almost all of the dishes are excellent.
3273	none	ambience	Not too crazy about their sake martini.
1215	none	ambience	Great bagels, spreads and a good place to hang out in.
183	none	ambience	The service varys from day to day- sometimes they're very nice, and sometimes not.
2511	positive	ambience	whoever the jazz duo was, they were on POINT.
282	none	ambience	One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.
1562	none	ambience	This place is a great bargain.
1712	none	ambience	We happened upon this place purely by accident and were pleased with the results.
3249	none	ambience	Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.
2052	none	ambience	Deff recimmend Bukhara they also have opened two new locations guess ill try them out.
3207	none	ambience	We always have a delicious meal and always leave feeling satisfied.
672	none	ambience	Dip the ingredients in with your chopsticks, swirl them around, and eat.
2972	positive	ambience	First went here to enjoy their garden terrace.
1903	none	ambience	My husbands was perfect, my was well done and dry.
2549	none	ambience	Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.
1755	none	ambience	The pizza was pretty good and huge.
2890	none	ambience	Sapphire is the only Indian restaurant I go to when I'm in NYC.
2277	none	ambience	The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.
2308	none	ambience	I heartily recommend.
51	none	ambience	Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.
3680	positive	ambience	I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.
3155	negative	ambience	They are often crowded on the weekends but they are efficient and accurate with their service.
1688	none	ambience	All my co-workers were amazed at how small the dish was.
598	positive	ambience	The atmosphere is unheralded, the service impecible, and the food magnificant.
2926	none	ambience	We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.
3083	none	ambience	The wait staff is friendly, and the food has gotten better and better!
1388	none	ambience	This place, which is only a few months old, is perhaps Queens' biggest secret!
2977	conflict	ambience	It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.
1574	none	ambience	This place is so much fun.
498	none	ambience	I was glad I did.
2604	positive	ambience	Right off the L in Brooklyn this is a nice cozy place with good pizza.
473	none	ambience	I've never been treated so rudely.
380	none	ambience	I'll be back soon.
2960	none	ambience	Le Pere Pinard has a $15 pre-theater menu that is outstanding.
